time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/policy_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/entropy_loss,time/total_timesteps,time/iterations
378,33,0.12795331,0.002111686859279871,0.029901381582021713,99,108.76,0.001,0.19411629438400269,-1.945213794708252,12800,100
389,65,0.12645599999999999,0.0009272985626012087,-0.040844183415174484,199,100.93,0.001,-8.811137199401855,-1.943832516670227,25600,200
399,96,0.16224803999999995,4.11082583013922e-05,0.005061543080955744,299,139.24,0.001,0.26277196407318115,-1.940693736076355,38400,300
395,129,0.15048315,0.004341833293437958,0.005384619813412428,399,132.59,0.001,0.46672523021698,-1.926670789718628,51200,400
385,166,0.1590691,0.006972994189709425,0.012997476384043694,499,137.71,0.001,0.2615742087364197,-1.9194397926330566,64000,500
386,198,0.18561619999999998,0.00016673101345077157,0.02007674239575863,599,143.35,0.001,-0.07313716411590576,-1.8076657056808472,76800,600
387,231,0.17739061000000003,0.0076439883559942245,-0.10093681514263153,699,139.01,0.001,-0.07641422748565674,-1.8223016262054443,89600,700
387,264,0.1811244,0.00016787259664852172,-0.011804252862930298,799,129.31,0.001,0.9294797107577324,-1.9150205850601196,102400,800
386,298,0.19686377,0.005890996195375919,0.09522150456905365,899,170.71,0.001,0.4794410467147827,-1.9165995121002197,115200,900
388,329,0.20405532000000004,0.0012582017807289958,0.003471322823315859,999,164.46,0.001,0.6941357553005219,-1.7514985799789429,128000,1000
388,362,0.22999408999999996,0.00010045350063592196,-0.005184562876820564,1099,194.2,0.001,-0.5020557641983032,-1.9323947429656982,140800,1100
388,395,0.24311323999999995,0.00011582257138798013,0.004725166596472263,1199,215.64,0.001,0.015319108963012695,-1.863086223602295,153600,1200
382,435,0.27235084,0.00016625720309093595,-0.015665842220187187,1299,213.42,0.001,-2.155830144882202,-1.8602604866027832,166400,1300
379,471,0.34878909999999996,0.002216218737885356,-0.0226837620139122,1399,226.62,0.001,0.7432789504528046,-1.6046249866485596,179200,1400
379,505,0.4593928400000001,0.0004913997836410999,-0.029152488335967064,1499,225.36,0.001,-1.4550788402557373,-1.8562276363372803,192000,1500
379,540,0.5670215500000001,0.005887655075639486,-0.10573863983154297,1599,232.7,0.001,-8.8441162109375,-1.626692771911621,204800,1600
379,573,0.7408402299999998,0.019321149215102196,0.10992822051048279,1699,183.63,0.001,-0.37245023250579834,-1.2067620754241943,217600,1700
379,606,0.82536065,0.001019276911392808,-0.015375697053968906,1799,181.72,0.001,0.9366770163178444,-1.6821048259735107,230400,1800
381,638,0.57548567,0.014184628613293171,-0.028195587918162346,1899,74.55,0.001,0.6746887266635895,-1.2355742454528809,243200,1900
382,669,0.9052437599999998,0.008574772626161575,-0.07273674011230469,1999,142.12,0.001,0.6190424859523773,-1.073643684387207,256000,2000
383,700,1.06597626,0.015793053433299065,0.01125413179397583,2099,119.89,0.001,0.6855844259262085,-0.8001200556755066,268800,2100
385,731,1.0314754700000002,0.04133487120270729,-0.17724229395389557,2199,131.98,0.001,0.48714327812194824,-0.9065315127372742,281600,2200
386,762,1.09860727,0.008835496380925179,-0.011161106638610363,2299,129.64,0.001,0.7303344309329987,-0.9795500040054321,294400,2300
386,794,1.1393126699999998,0.0067141796462237835,0.022155707702040672,2399,147.8,0.001,0.8292837142944336,-0.9585167169570923,307200,2400
387,824,1.0268396999999998,0.011673440225422382,0.005004471633583307,2499,125.33,0.001,0.7619471848011017,-0.8144488334655762,320000,2500
388,857,1.08914533,0.022000396624207497,-0.04329958185553551,2599,119.52,0.001,0.5622450411319733,-0.5543383359909058,332800,2600
388,889,1.06984695,0.026977097615599632,-0.03582043945789337,2699,109.76,0.001,0.41565263271331787,-0.42394354939460754,345600,2700
389,921,1.08954672,0.02979673072695732,-0.0370091013610363,2799,112.59,0.001,0.7179664671421051,-0.45580899715423584,358400,2800
389,952,1.08460225,0.020524227991700172,0.10687747597694397,2899,152.53,0.001,0.6193296909332275,-1.1327025890350342,371200,2900
389,985,1.1060335399999999,0.010853081941604614,0.05044892430305481,2999,168.45,0.001,0.7984692007303238,-0.8132326602935791,384000,3000
388,1021,1.09521422,0.006259692367166281,-0.0075298333540558815,3099,119.48,0.001,0.8800690770149231,-0.8046573400497437,396800,3100
387,1056,1.1283824,0.01100736204534769,-0.013772666454315186,3199,99.32,0.001,0.8880206868052483,-0.3568733334541321,409600,3200
387,1090,1.1614123,0.0066178408451378345,-0.0032658230047672987,3299,110.98,0.001,0.8615701794624329,-0.5285950899124146,422400,3300
385,1128,1.16544894,0.0043757203966379166,0.009912618435919285,3399,123.31,0.001,0.9239913374185562,-0.7958492040634155,435200,3400
383,1166,1.07703162,0.008030759170651436,0.0389668345451355,3499,97.61,0.001,0.8827837705612183,-0.7174511551856995,448000,3500
381,1206,1.1288256600000002,0.008450748398900032,-0.001472614472731948,3599,102.36,0.001,0.8834505379199982,-0.8009914755821228,460800,3600
380,1245,1.15092496,0.008541681803762913,0.05517567694187164,3699,111.43,0.001,0.931639201939106,-0.724534273147583,473600,3700
378,1283,1.1385277,0.009881105273962021,0.05527413636445999,3799,108.53,0.001,0.7515669465065002,-0.7372385859489441,486400,3800
379,1316,1.11321946,0.0003697015927173197,-0.0011073508067056537,3899,105.01,0.001,-5.141306400299072,-0.055057622492313385,499200,3900
