time/iterations,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
100,34,0.12541256844997406,0.006072686519473791,365,99,-1.944915771484375,0.13999489,0.010598957538604736,12800,0.001,101.83
200,69,-0.027323786169290543,0.002141156466677785,366,199,-1.943392276763916,0.13529055999999998,0.05708426237106323,25600,0.001,102.27
300,106,-0.0017688451334834099,0.0024111878592520952,359,299,-1.9427156448364258,0.12948483000000002,0.16506218910217285,38400,0.001,101.05
400,143,0.01863948255777359,0.0021163872443139553,357,399,-1.927642822265625,0.12767932,0.4930066466331482,51200,0.001,81.97
500,177,0.07802233099937439,0.005261779762804508,360,499,-1.9369854927062988,0.14338148,0.4966700077056885,64000,0.001,103.95
600,212,-0.002804011572152376,0.0009976545115932822,361,599,-1.9238907098770142,0.15773131,0.26788508892059326,76800,0.001,110.72
700,248,-0.01654212549328804,0.00012951741518918425,360,699,-1.918148398399353,0.18491056,0.036851346492767334,89600,0.001,121.5
800,285,0.063615582883358,0.004261848516762257,358,799,-1.9285109043121338,0.19967601000000001,0.14478808641433716,102400,0.001,130.18
900,321,-0.03248348459601402,0.0006664292886853218,358,899,-1.8683388233184814,0.19835945,0.6950402855873108,115200,0.001,110.23
1000,359,0.009739459492266178,0.00024068870698101819,356,999,-1.7899185419082642,0.20260488,0.885105162858963,128000,0.001,144.38
1100,391,0.045330412685871124,0.0032713317777961493,360,1099,-1.8478412628173828,0.21602439,0.5216305553913116,140800,0.001,120.53
1200,422,0.16415609419345856,0.023481547832489014,363,1199,-1.6378710269927979,0.23517625999999997,0.4745407700538635,153600,0.001,140.04
1300,453,0.003880971111357212,0.0003972327394876629,367,1299,-0.8855423927307129,0.24449983000000003,0.7849181741476059,166400,0.001,205.91
1400,485,0.003747006878256798,0.00011510748299770057,369,1399,-1.8942558765411377,0.28136975,-0.3353947401046753,179200,0.001,253.56
1500,517,0.10556107759475708,0.01115463674068451,371,1499,-1.8222891092300415,0.32086019,0.3685346841812134,192000,0.001,191.02
1600,551,0.01578250154852867,0.005517098121345043,371,1599,-1.5725855827331543,0.39234944,0.05577152967453003,204800,0.001,180.76
1700,584,0.012722190469503403,0.011511778458952904,372,1699,-1.3549672365188599,0.51550522,0.5901892781257629,217600,0.001,183.48
1800,617,0.02400488406419754,0.01800389587879181,373,1799,-1.2917965650558472,0.6578561199999998,0.585637629032135,230400,0.001,162.18
1900,651,0.06857380270957947,0.0059734308160841465,373,1899,-1.6220593452453613,0.6800548999999999,0.40405964851379395,243200,0.001,155.23
2000,682,0.0004578704247251153,0.03756295517086983,374,1999,-0.028297923505306244,0.27086706,0.02354508638381958,256000,0.001,35.07
2100,714,0.008261806331574917,0.018927233293652534,375,2099,-0.07695731520652771,0.28057916000000005,0.23171669244766235,268800,0.001,35.01
2200,748,-7.720693247392774e-05,0.0018028214108198881,376,2199,-0.020342670381069183,0.28487607,0.7379124164581299,281600,0.001,34.86
2300,780,0.006908285431563854,0.009890113025903702,377,2299,-0.06660530716180801,0.26419943,0.06129109859466553,294400,0.001,34.44
2400,812,-0.03077371045947075,0.023332087323069572,378,2399,-0.25106126070022583,0.26498251000000006,0.14994537830352783,307200,0.001,34.32
2500,844,0.026553869247436523,0.03202346712350845,378,2499,-0.9559230804443359,0.31318483,0.1304541826248169,320000,0.001,51.01
2600,876,-0.048559486865997314,0.013585090637207031,379,2599,-1.0071063041687012,0.69251951,0.3704553246498108,332800,0.001,127.29
2700,910,0.047183506190776825,0.028515340760350227,379,2699,-0.8226696848869324,0.80928195,0.35668230056762695,345600,0.001,126.54
2800,942,-0.14208149909973145,0.12821850180625916,380,2799,-0.8723269701004028,0.7873081100000001,0.04633462429046631,358400,0.001,106.73
2900,974,0.08249175548553467,0.02240600809454918,380,2899,-1.0459866523742676,0.8634472700000001,0.5470491647720337,371200,0.001,105.7
3000,1008,0.0970386415719986,0.01998000033199787,380,2999,-1.1718249320983887,1.0664702999999998,0.6685290336608887,384000,0.001,161.6
3100,1043,-0.027064096182584763,0.010698175989091396,380,3099,-0.8599669337272644,1.02683047,0.7897052019834518,396800,0.001,147.92
3200,1081,0.010106630623340607,0.0048613762483000755,378,3199,-0.7073694467544556,1.08942227,0.8834908381104469,409600,0.001,120.98
3300,1118,-0.0444473996758461,0.023419102653861046,377,3299,-0.6128934621810913,1.0187506100000001,0.6801674664020538,422400,0.001,129.22
3400,1153,-0.077553391456604,0.009160701185464859,377,3399,-0.8235043883323669,1.0745185199999998,0.9125860407948494,435200,0.001,100.7
3500,1188,0.156825453042984,0.04798469692468643,376,3499,-0.6594418287277222,1.08283011,0.35587358474731445,448000,0.001,102.42
3600,1222,0.024417780339717865,0.006789291277527809,376,3599,-0.5420974493026733,1.06458709,0.8462297171354294,460800,0.001,100.16
3700,1256,0.005475253332406282,0.003064681775867939,377,3699,-0.5650326013565063,1.05923504,0.9296521544456482,473600,0.001,97.13
3800,1290,0.002759236376732588,0.0027128856163471937,376,3799,-0.5404483079910278,1.00464318,0.8951734155416489,486400,0.001,96.37
3900,1324,-0.017475008964538574,0.005093683488667011,376,3899,-0.5923479795455933,1.1630677799999998,0.9389313533902168,499200,0.001,114.76
