time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/loss,train/learning_rate
1,223.22222222222223,373,0.19388744444444442,21,8192,,,,,,,,,,
2,213.6578947368421,237,0.20074628947368423,69,16384,15,-0.0032582716300870135,0.0013262400182763182,-1.9444036481281122,0.002970729,-5.607547283172607,0.1,0.05465494791666667,0.003825841937214136,1e-05
3,164.36,214,0.1789363,114,24576,30,-0.00401503522710603,0.0004775769694712532,-1.9363285947591067,0.004235779,-0.2747933864593506,0.1,0.07373860677083334,0.0018244581297039986,1e-05
4,150.04,202,0.18200636,161,32768,45,-0.0025103813779423943,0.00046947944371898606,-1.9235792882119616,0.0035470142,0.18774914741516113,0.1,0.03179524739583333,0.0006713225739076734,1e-05
5,154.19,196,0.18051607,208,40960,60,-0.002719143527307703,0.0005240392439607907,-1.904841728632649,0.0034448816,0.3271724581718445,0.1,0.05284830729166667,-0.007544068153947592,1e-05
6,112.78,192,0.16955946,254,49152,75,-0.0014510842952101181,0.00043353431664930515,-1.8811234328895807,0.0034824428,0.42077070474624634,0.1,0.01650390625,-0.025213520973920822,1e-05
7,98.55,187,0.16366866,305,57344,90,-0.0031011446237243943,0.0005086793483428664,-1.8564453921591242,0.0018970841,0.5052548050880432,0.1,0.045271809895833334,-0.008703086525201797,1e-05
8,89.7,183,0.17250992000000004,357,65536,105,-0.005291581734491046,0.000551271421416762,-1.846157626186808,0.0029263562,0.5460708737373352,0.1,0.060099283854166664,-0.016212118789553642,1e-05
9,101.06,180,0.18493327999999998,409,73728,120,-0.004832854187407065,0.0005336528187172007,-1.821146681594352,0.0026726285,0.5695711076259613,0.1,0.05001627604166667,-0.013964666984975338,1e-05
10,90.12,178,0.21371987,458,81920,135,-0.0063626266244682485,0.0005272241515513088,-1.8056293361509839,0.0024792755,0.5577472150325775,0.1,0.08712565104166667,-0.013117468915879726,1e-05
11,90.32,177,0.23842134,506,90112,150,-0.006994054857447433,0.0006203862049157275,-1.7954259325439732,0.0029637902,0.5311568975448608,0.1,0.09419759114583333,-0.013243298046290874,1e-05
12,91.98,177,0.26239005000000004,555,98304,165,-0.007447613073115159,0.0007099829912628289,-1.7745915461331605,0.0024633943,0.5134387910366058,0.1,0.0971923828125,-0.004819242283701897,1e-05
13,87.7,176,0.29581125999999996,604,106496,180,-0.010108771948337866,0.0007216426845009968,-1.7657897967845202,0.003214466,0.5466062426567078,0.1,0.15142415364583334,-0.021501312032341957,1e-05
14,95.77,175,0.34119472,652,114688,195,-0.00969260133933858,0.0008149458888283334,-1.7477569265911976,0.0032618535,0.5195841193199158,0.1,0.14613444010416668,-0.020569248124957085,1e-05
15,87.06,175,0.3634134999999999,701,122880,210,-0.010248501585253204,0.0009885537858735916,-1.735325774177909,0.0033094469,0.4485313892364502,0.1,0.12742513020833332,-0.0013192740734666586,1e-05
16,89.37,174,0.39077456,750,131072,225,-0.010908618231527119,0.0010318720380079565,-1.7013928102950255,0.0031681778,0.4542258381843567,0.1,0.11951497395833334,-0.009304583072662354,1e-05
17,95.53,174,0.4202017599999999,798,139264,240,-0.012384635092894314,0.0010574843251561106,-1.6841254026939472,0.0035172408,0.4340363144874573,0.1,0.14624837239583333,-0.010739604011178017,1e-05
18,92.51,174,0.44818470999999993,846,147456,255,-0.012783436511623829,0.0011502786370632143,-1.674393289970855,0.0031129026,0.39653390645980835,0.1,0.1337158203125,-0.023998402059078217,1e-05
19,90.11,173,0.45272778,895,155648,270,-0.015141858174320077,0.001276448813011181,-1.6416449940452973,0.0035882702,0.39198070764541626,0.1,0.175244140625,-0.025896839797496796,1e-05
20,95.96,173,0.51913205,944,163840,285,-0.015630873793391706,0.00123439593733868,-1.6137709378575285,0.0035425802,0.4414185881614685,0.1,0.16068522135416666,-0.029185250401496887,1e-05
21,94.33,173,0.5233686799999999,991,172032,300,-0.016465744334467066,0.0013645643435969154,-1.5923548521474005,0.003840987,0.42803090810775757,0.1,0.16817220052083334,-0.005061522591859102,1e-05
22,92.87,173,0.5269934099999999,1038,180224,315,-0.015875427884505675,0.0013203483193895713,-1.5697107753405968,0.0032749297,0.4371602535247803,0.1,0.1414306640625,-0.028505712747573853,1e-05
23,94.1,173,0.56715347,1085,188416,330,-0.015694619102335612,0.0013662546975259223,-1.5333547963450351,0.0034224782,0.4075784683227539,0.1,0.15326334635416666,-0.011340204626321793,1e-05
24,90.96,173,0.59472857,1134,196608,345,-0.017559498991370978,0.0014118311471065681,-1.5158256092419227,0.0034930306,0.42854881286621094,0.1,0.16201171875,-0.033508703112602234,1e-05
