time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate
1,121.76119402985074,0.11630871641791043,8192,395,20,,,,,,,,,,
2,113.72,0.12208114999999997,16384,232,70,0.0020278890709353923,-0.009124536998569965,-1.945530553472539,0.0010040664,-0.0006295723838168972,0.1,-1.4710259437561035,15,0.0021891276041666667,1e-05
3,87.0,0.09787549999999998,24576,210,116,0.0009507673847262292,-0.008764376863837242,-1.9426665736362339,0.0037053546,-0.0024450783057545777,0.1,-0.02770841121673584,30,0.028946940104166666,1e-05
4,94.6,0.12230209,32768,202,162,0.0006345208744429935,0.00030909504857845604,-1.9381116446728508,0.0037093912,-0.004271571944506529,0.1,0.3228738307952881,45,0.061376953125,1e-05
5,80.35,0.11949767000000001,40960,197,206,0.000576317130132035,-0.008841220289468765,-1.9303602481881776,0.0026936494,-0.002208006276244608,0.1,0.36490368843078613,60,0.03856608072916667,1e-05
6,56.85,0.10006098999999999,49152,195,251,0.0005846407019816979,-0.016234207898378372,-1.913324012234807,0.0040963404,-0.003287870919545336,0.1,0.4404928684234619,75,0.05196940104166667,1e-05
7,64.33,0.12387413,57344,193,297,0.0007022342329719323,-0.0030798076186329126,-1.897016989874343,0.0017670384,-0.004326814174661801,0.1,0.3986513018608093,90,0.0341552734375,1e-05
8,65.27,0.1303685,65536,191,341,0.0007708107048301826,-0.005274210125207901,-1.8810744489853581,0.0020677361,-0.005900128846648537,0.1,0.34225136041641235,105,0.06390787760416666,1e-05
9,77.13,0.16428073,73728,190,386,0.0007061653987345077,-0.0108600789681077,-1.866148635558784,0.0022447607,-0.007361039086875584,0.1,0.45669883489608765,120,0.0599609375,1e-05
10,75.67,0.18600710000000004,81920,190,429,0.0007025553246497414,-0.009844344109296799,-1.8523331354061763,0.0023335083,-0.0060514737311071565,0.1,0.4950028657913208,135,0.075,1e-05
11,73.68,0.1870213,90112,190,473,0.0007796667087632159,0.007159518543630838,-1.8351306211203338,0.0027476354,-0.008974557254259708,0.1,0.49566662311553955,150,0.086865234375,1e-05
12,79.71,0.23688460999999997,98304,190,517,0.0007945923520916646,-0.007434714585542679,-1.8197785660624504,0.0022291224,-0.009612366575553703,0.1,0.5078171789646149,165,0.08509114583333334,1e-05
