rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/value_loss
81.95833333333333,1,20,397,8192,0.1015445,,,,,,,,,,
93.17,2,64,252,16384,0.10322618,15,-1.944445393420756,1e-05,-0.001589551610959461,0.1,0.0031207819,-3.132490634918213,-0.01084886398166418,0.017049153645833332,0.0013272088923865037
112.77,3,109,225,24576,0.11701499999999998,30,-1.9369172577435771,1e-05,-0.0028419974000523022,0.1,0.0026750278,-0.06467974185943604,0.0053727272897958755,0.05160319010416667,0.0006872805328081692
113.73,4,156,209,32768,0.11305462999999999,45,-1.928790959219138,1e-05,-0.001862296870725307,0.1,0.0025551824,0.14234626293182373,-0.029583273455500603,0.030452473958333334,0.0005654798692413958
71.76,5,201,203,40960,0.12093496999999997,60,-1.921205263212323,1e-05,-0.0031267439529377348,0.1,0.0034382553,0.2874554395675659,-0.005749792326241732,0.042985026041666666,0.0004803447540477161
77.01,6,245,200,49152,0.13476267,75,-1.908495886127154,1e-05,-0.004475263195248166,0.1,0.0023852675,0.2803806662559509,0.005762224551290274,0.05633138020833333,0.0007754907945506299
77.77,7,288,198,57344,0.16098717,90,-1.892134507248799,1e-05,-0.0054690630868814575,0.1,0.0027583812,0.3279649615287781,-0.002951534930616617,0.08006184895833333,0.0007413007614256155
72.43,8,332,197,65536,0.16554981000000002,105,-1.8749598951389392,1e-05,-0.005952096168766729,0.1,0.0023366073,0.3752250671386719,-0.030412565916776657,0.06813151041666667,0.0007800608368067212
85.08,9,375,196,73728,0.20594352000000002,120,-1.8601633261889219,1e-05,-0.0069435920634229355,0.1,0.0022585802,0.4494776129722595,-0.020066529512405396,0.069580078125,0.0007464347354698475
95.46,10,419,195,81920,0.24384030999999998,135,-1.8431150931244096,1e-05,-0.0074044022905582095,0.1,0.002084848,0.38199710845947266,-0.012484787963330746,0.0725830078125,0.0008781381503316273
79.6,11,464,194,90112,0.22592933000000007,150,-1.8224302648877104,1e-05,-0.00847490355881746,0.1,0.0028544748,0.37936586141586304,-0.014033165760338306,0.11057942708333333,0.000927855760884692
88.91,12,507,193,98304,0.27946327000000004,165,-1.7974226589004199,1e-05,-0.009877491528944423,0.1,0.0029713665,0.35662227869033813,-0.013025195337831974,0.11265462239583333,0.0009984605372513518
92.76,13,551,193,106496,0.32569945999999994,180,-1.772839614438514,1e-05,-0.010781444062983307,0.1,0.002948085,0.37798798084259033,-0.019405346363782883,0.10963541666666667,0.0009967842034711793
100.07,14,595,192,114688,0.37494589000000006,195,-1.761893694040676,1e-05,-0.010632519880406715,0.1,0.0027972031,0.3008548617362976,-0.031634606420993805,0.11593424479166667,0.0011944584897264575
98.49,15,638,192,122880,0.4002419200000001,210,-1.7349500657369694,1e-05,-0.01170699789217906,0.1,0.002947262,0.3113875985145569,-0.025349650532007217,0.1223876953125,0.0012068276926129329
95.32,16,682,192,131072,0.42309889000000006,225,-1.721589266943435,1e-05,-0.013092234775346394,0.1,0.003288367,0.3607655167579651,-0.0225205197930336,0.1323974609375,0.0012440044826841283
