rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
107.98611111111111,373,1,0.12129427777777778,8192,21,,,,,,,,,,
109.19,221,2,0.12735882,16384,74,0.0014097565047147024,1e-05,-1.9445134427398443,0.05748697916666667,15,0.1,0.0023603528,-0.003317548649162442,-4.408363342285156,-0.00794960092753172
97.66,194,3,0.14885559,24576,126,0.0006493296206902718,1e-05,-1.9385555516307553,0.0572998046875,30,0.1,0.0029570994,-0.0036611051749787294,0.034427642822265625,-0.010736700147390366
67.01,183,4,0.11995151999999999,32768,178,0.0006640022528548191,1e-05,-1.9267426411931714,0.043196614583333334,45,0.1,0.0045310156,-0.003250071256479714,0.3295184373855591,-2.3726170184090734e-05
80.89,177,5,0.11806295,40960,230,0.0007072603268852617,1e-05,-1.9056682401026288,0.047745768229166666,60,0.1,0.0041147284,-0.0036501528278070814,0.3985326886177063,0.01814221777021885
86.88,174,6,0.14283774999999999,49152,281,0.0006056156686251294,1e-05,-1.8825470947970946,0.039200846354166666,75,0.1,0.0025584602,-0.0036319014839439963,0.4343219995498657,-0.0067319744266569614
90.06,171,7,0.14438373000000002,57344,333,0.0006394668676269551,1e-05,-1.8646275966738661,0.052815755208333336,90,0.1,0.0021546357,-0.004828357564595838,0.4615480899810791,-0.0014717894373461604
79.25,169,8,0.15415602,65536,385,0.0005951711563549604,1e-05,-1.848496736213565,0.03150227864583333,105,0.1,0.0015950266,-0.004212775056172783,0.5033310651779175,0.00022536166943609715
67.83,168,9,0.16462719,73728,438,0.0006137963597135847,1e-05,-1.832537532163163,0.07169596354166667,120,0.1,0.0020107334,-0.006360858930444617,0.5557468831539154,-0.008309305645525455
62.65,166,10,0.15905899,81920,490,0.0006680532045796402,1e-05,-1.8233832982058327,0.0801025390625,135,0.1,0.0022923737,-0.007372330960545999,0.5823551118373871,-0.012007823213934898
72.03,165,11,0.17919017,90112,543,0.0006939756886443622,1e-05,-1.8114179375891883,0.082958984375,150,0.1,0.002330158,-0.008253441540000494,0.6125589609146118,-0.009575667791068554
51.31,165,12,0.17977057,98304,595,0.000623579737801568,1e-05,-1.8045592398072283,0.11516927083333334,165,0.1,0.0026407342,-0.008919854041596408,0.6594682335853577,-0.026263045147061348
66.81,164,13,0.20691809999999997,106496,647,0.0007977122745614906,1e-05,-1.7772500831012925,0.12356770833333333,180,0.1,0.0030466467,-0.010953486218689553,0.611614853143692,-0.006127939093858004
49.06,164,14,0.18851941,114688,698,0.0007135998038923693,1e-05,-1.7694283253823717,0.12693684895833332,195,0.1,0.0028438834,-0.01167962421629151,0.6313539147377014,-0.028399817645549774
55.34,163,15,0.20293202999999999,122880,750,0.0007975663332975576,1e-05,-1.7504375231762728,0.13006184895833334,210,0.1,0.0031792694,-0.011652617884101346,0.6301435232162476,-0.012808689847588539
48.79,163,16,0.22447023,131072,802,0.0007660015189003388,1e-05,-1.7218960784375668,0.155908203125,225,0.1,0.003260241,-0.012954302206344437,0.6511871516704559,-0.023442456498742104
58.47,163,17,0.24684507999999997,139264,854,0.0008134605792596024,1e-05,-1.6814035352319479,0.16141764322916666,240,0.1,0.0034982765,-0.014290893826303849,0.659347414970398,-0.01340425107628107
66.09,162,18,0.29284215,147456,906,0.000928201398088883,1e-05,-1.6689690818389258,0.16904296875,255,0.1,0.0037163529,-0.015882356686294466,0.5936129093170166,-0.022050732746720314
70.52,162,19,0.33515062,155648,955,0.0009659372427449853,1e-05,-1.659975569260617,0.17373046875,270,0.1,0.0037333127,-0.01545964593703199,0.5623618364334106,-0.03289688378572464
73.71,163,20,0.34453123999999996,163840,1003,0.0011109436937658756,1e-05,-1.6454487302651009,0.17181803385416666,285,0.1,0.0036977052,-0.016656399534258525,0.5122179388999939,-0.03288692608475685
77.24,163,21,0.35616251999999987,172032,1053,0.00111730963132383,1e-05,-1.613003275791804,0.16788736979166666,300,0.1,0.003618644,-0.01676026641362114,0.5159925222396851,-0.021783407777547836
68.6,163,22,0.39418693000000005,180224,1105,0.0011954399113468146,1e-05,-1.592505610237519,0.16311848958333333,315,0.1,0.0034212936,-0.01682144591929197,0.5066648721694946,-0.037627480924129486
72.52,162,23,0.44983631999999996,188416,1155,0.001367975245678584,1e-05,-1.5419138160844643,0.17989095052083334,330,0.1,0.0037373747,-0.01748565126908943,0.4493946433067322,-0.026139747351408005
62.87,163,24,0.42433533999999995,196608,1203,0.001510974420216371,1e-05,-1.5003724344074727,0.17222493489583332,345,0.1,0.0036701597,-0.018217100121304005,0.40714263916015625,-0.021050887182354927
68.26,163,25,0.4621319,204800,1249,0.0015559615645846256,1e-05,-1.4405865670492253,0.16861979166666666,360,0.1,0.0037217084,-0.01905603260359688,0.4216214418411255,-0.029192375019192696
85.79,164,26,0.5462830900000001,212992,1296,0.0016128918616535278,1e-05,-1.4319282131269575,0.18263346354166668,375,0.1,0.0037801908,-0.019547166270785964,0.4195614457130432,-0.03467293456196785
88.02,164,27,0.59795369,221184,1342,0.001540722372556047,1e-05,-1.4417023766164978,0.21121419270833333,390,0.1,0.004319724,-0.02011168283764467,0.41654515266418457,-0.04273141548037529
105.51,165,28,0.6888544499999999,229376,1388,0.0016881468359012312,1e-05,-1.4192348945885898,0.19982096354166667,405,0.1,0.0042089103,-0.0204416716316094,0.3958343267440796,-0.030939854681491852
91.58,165,29,0.6508839399999999,237568,1434,0.001579044498460765,1e-05,-1.427748088352382,0.2090087890625,420,0.1,0.004653788,-0.02176197449831913,0.42880016565322876,-0.03811424970626831
102.16,165,30,0.7546715799999998,245760,1480,0.001679069877203195,1e-05,-1.3843118615448475,0.23172200520833333,435,0.1,0.004945196,-0.022470410412885635,0.4172041416168213,-0.03747955337166786
113.52,166,31,0.7631729399999999,253952,1526,0.001712259318173892,1e-05,-1.3675612786784768,0.24420572916666666,450,0.1,0.0052677095,-0.023385036363712666,0.4169536232948303,-0.03243205323815346
118.08,166,32,0.8155197599999999,262144,1572,0.0015796897642151937,1e-05,-1.366721040631334,0.24108072916666667,465,0.1,0.005107756,-0.02302340295694497,0.47540557384490967,-0.03531856834888458
120.81,166,33,0.8975400600000001,270336,1619,0.0017562860713648358,1e-05,-1.343462575847904,0.2419677734375,480,0.1,0.0057540257,-0.02313502214407587,0.4556823968887329,-0.03203516826033592
119.71,167,34,0.9235090600000001,278528,1665,0.0017408720452294802,1e-05,-1.3219468606015046,0.23253580729166667,495,0.1,0.005502233,-0.023623786765286543,0.49614620208740234,-0.027876198291778564
114.17,167,35,0.9416546899999997,286720,1711,0.0018494209485955557,1e-05,-1.2502353912219406,0.250439453125,510,0.1,0.0061081797,-0.024555146451408896,0.4683818221092224,-0.0418582558631897
122.2,167,36,1.0418598600000002,294912,1757,0.001880104552613678,1e-05,-1.2300166508182884,0.24329427083333333,525,0.1,0.0058327313,-0.024681020998590004,0.47055745124816895,-0.02929345704615116
132.02,168,37,1.04923721,303104,1803,0.001775404219339786,1e-05,-1.2077423032994072,0.24751790364583334,540,0.1,0.0063566053,-0.025013486937435422,0.5233986079692841,-0.045099154114723206
123.52,168,38,1.03912066,311296,1849,0.00169106206167271,1e-05,-1.2084260726347567,0.2543131510416667,555,0.1,0.0062396843,-0.02441617335716728,0.5809517204761505,-0.03655330836772919
125.59,168,39,1.05927893,319488,1896,0.0017738214998644253,1e-05,-1.160813832593461,0.25283203125,570,0.1,0.0064671147,-0.024325854544197986,0.5487939119338989,-0.034731365740299225
132.23,168,40,1.07681185,327680,1942,0.0017371264386080536,1e-05,-1.143805929335455,0.25979817708333336,585,0.1,0.007200271,-0.025329644330971252,0.590577095746994,-0.030474647879600525
128.01,168,41,1.08976712,335872,1988,0.0017568485968998478,1e-05,-1.1491519189129273,0.27508951822916666,600,0.1,0.007179211,-0.02577215626636947,0.6342667639255524,-0.04472896829247475
124.84,169,42,1.11361204,344064,2034,0.0018239583183458307,1e-05,-1.1020681816463669,0.263427734375,615,0.1,0.007814071,-0.0256743356406029,0.6282684206962585,-0.040535520762205124
130.98,169,43,1.11900198,352256,2081,0.0017781047220220595,1e-05,-1.0923073056464394,0.2598795572916667,630,0.1,0.007411834,-0.02571245034438713,0.6392861902713776,-0.03970633074641228
135.03,169,44,1.12108549,360448,2127,0.0017751853602021583,1e-05,-1.0926018636363248,0.27517903645833336,645,0.1,0.008121407,-0.025770431208366064,0.6585159003734589,-0.04621296375989914
140.01,169,45,1.14077849,368640,2173,0.001770748460815715,1e-05,-1.0749303984455765,0.27499186197916664,660,0.1,0.007971169,-0.02617438738088822,0.6851531863212585,-0.029151666909456253
136.02,169,46,1.14198574,376832,2220,0.0016369328620385204,1e-05,-1.0853680176660419,0.28402506510416664,675,0.1,0.008918418,-0.026582939025198964,0.7145439386367798,-0.03719852864742279
129.99,169,47,1.1483754499999999,385024,2266,0.0016705035721618817,1e-05,-1.01762404985105,0.27767740885416664,690,0.1,0.0084166555,-0.026144159596636504,0.7202887535095215,-0.03689727559685707
135.48,170,48,1.16285785,393216,2311,0.0016922605395848223,1e-05,-1.0223789049933354,0.2783610026041667,705,0.1,0.00861969,-0.026145578633440893,0.7231152653694153,-0.04900096356868744
